제목,제작 비용 ($),북미 박스오피스 수익 ($),전세계 박스오피스 수익 ($),개봉 주말 수익 ($),상영 등급,장르,상영관 수,상영 시간,개봉 연도,영화 유형
Ghost Rider,120000000,115802596.0,229545589.0,45388836.0,PG-13,Action,3620.0,110.0,2007,0
Rampage,120000000,101028233.0,427947217.0,35753093.0,PG-13,Action,4115.0,107.0,2018,0
Charlie's Angels: Full Throttle,120000000,100814328.0,227163273.0,37634221.0,PG-13,Action,3485.0,106.0,2003,0
Elysium,120000000,93050117.0,286192091.0,29807393.0,R,Action,3284.0,109.0,2013,0
Oblivion,120000000,89107235.0,287916633.0,37054485.0,PG-13,Thriller/Suspense,3792.0,125.0,2013,0
Power Rangers,120000000,85364450.0,142531552.0,40300288.0,PG-13,Action,3693.0,124.0,2017,0
Stuart Little 2,120000000,64956806.0,166000000.0,15115152.0,PG,Adventure,3282.0,77.0,2002,0
RoboCop,120000000,58607007.0,242981799.0,21681430.0,PG-13,Action,3372.0,116.0,2014,0
The Chronicles of Riddick,120000000,57712751.0,107212751.0,24289165.0,PG-13,Adventure,2759.0,119.0,2004,0
Speed Racer,120000000,43945766.0,93394462.0,18561337.0,PG,Action,3606.0,135.0,2008,0
The Island,120000000,35818913.0,163018913.0,12409070.0,PG-13,Action,3138.0,136.0,2005,0
How Do You Know?,120000000,30212620.0,49628177.0,7484696.0,R,Romantic Comedy,2483.0,121.0,2010,0
Outlaw King,120000000,169611380.408,469777564.92,54292057.0,R,Action,3660.0,117.0,2018,0
Knight and Day,117000000,76423035.0,258751370.0,20139985.0,PG-13,Action,3104.0,109.0,2010,0
Tang Ren Jie Tan An 3,117000000,169611380.408,699084069.0,54292057.0,R,Action,3660.0,136.0,2021,0
Venom,116000000,213511408.0,856081053.0,80255756.0,PG-13,Action,4250.0,112.0,2018,0
Star Wars Ep. I: The Phantom Menace,115000000,474544677.0,1027044677.0,64810970.0,PG,Adventure,3126.0,133.0,1999,0
Star Wars Ep. III: Revenge of the Sith,115000000,380270577.0,848998877.0,108435841.0,PG-13,Adventure,3663.0,139.0,2005,0
Star Wars Ep. II: Attack of the Clones,115000000,310676740.0,656695615.0,80027814.0,PG,Adventure,3161.0,143.0,2002,0
"Monsters, Inc.",115000000,290149425.0,560483719.0,62577067.0,G,Adventure,3649.0,92.0,2001,0
The Wolverine,115000000,132556852.0,416456852.0,53113752.0,PG-13,Action,3924.0,126.0,2013,0
Dante’s Peak,115000000,67163857.0,178200000.0,18479435.0,PG-13,Thriller/Suspense,2761.0,109.0,1997,0
The Huntsman: Winter’s War,115000000,48003015.0,165149302.0,19445035.0,PG-13,Action,3802.0,113.0,2016,0
Windtalkers,115000000,40914068.0,77628265.0,14520412.0,R,Action,2898.0,134.0,2002,0
Triple Frontier,115000000,169611380.408,469777564.92,54292057.0,R,Action,3660.0,125.0,2019,0
Gulliver's Travels,112000000,42779261.0,232017848.0,6307691.0,PG,Adventure,3089.0,87.0,2010,0
Ferdinand,111000000,84410380.0,288510892.0,13401586.0,PG,Adventure,3630.0,107.0,2017,0
Deadpool 2,110000000,324591735.0,786362370.0,125507153.0,R,Action,4349.0,119.0,2018,0
Gravity,110000000,274092705.0,688214291.0,55785112.0,PG-13,Thriller/Suspense,3820.0,91.0,2013,0
Night at the Museum,110000000,250863268.0,579446407.0,30433781.0,PG,Adventure,3768.0,108.0,2006,0
Venom: Let There be Carnage,110000000,213550366.0,501600379.0,90033210.0,PG-13,Action,4225.0,97.0,2021,0
Mr. and Mrs. Smith,110000000,186336279.0,486124090.0,50342878.0,PG-13,Action,3451.0,120.0,2005,0
San Andreas,110000000,155190832.0,456258539.0,54588173.0,PG-13,Adventure,3812.0,114.0,2015,0
The Smurfs,110000000,142614158.0,563749323.0,35611637.0,PG,Adventure,3427.0,103.0,2011,0
Live Free or Die Hard,110000000,134529403.0,382288147.0,33369559.0,PG-13,Action,3411.0,129.0,2007,0
